Date : 2024-05-20 05:37:25
Directory : e:\Projects\Python\if1210-2024-tubes-k08-a
Total : 86 files,  10364 codes, 181 comments, 706 blanks, all 11251 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\worldmap\download.mjs       | JavaScript       |         75 |          0 |          4 |         79 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\worldmap\generate.mjs       | JavaScript       |          0 |          0 |          1 |          1 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\worldmap\package-lock.json  | JSON             |        629 |          0 |          1 |        630 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\data\generator\worldmap\package.json       | JSON             |         11 |          0 |          1 |         12 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\exit.py                                    | Python           |         15 |          0 |          0 |         15 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\f05 level.py                               | Python           |         15 |          4 |          4 |         23 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\main.py                                    | Python           |         79 |          3 |          3 |         85 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\pyrightconfig.json                         | JSON             |          7 |          0 |          1 |          8 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\requirements.txt                           | pip requirements |          2 |          0 |          1 |          3 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\data.py                                | Python           |         92 |         13 |         29 |        134 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\encryption.py                          | Python           |         15 |          3 |          5 |         23 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\F04.py                            | Python           |         28 |          0 |          2 |         30 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\F10.py                            | Python           |        125 |          1 |         12 |        138 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\F11.py                            | Python           |         88 |          1 |          9 |         98 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\README.md                         | Markdown         |         33 |          0 |         13 |         46 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\arena\__init__.py                 | Python           |          7 |          0 |          4 |         11 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\arena\arena.py                    | Python           |         23 |          0 |          6 |         29 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\arena\ui_logic.py                 | Python           |        245 |          7 |          4 |        256 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\battle\__init__.py                | Python           |         15 |          0 |          4 |         19 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\battle\battle.py                  | Python           |         55 |          0 |         12 |         67 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\battle\ui_logic.py                | Python           |        371 |         20 |          4 |        395 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\database\__init__.py              | Python           |         31 |          0 |          2 |         33 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\database\database.py              | Python           |        122 |          0 |          7 |        129 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\generateinit.mjs                  | JavaScript       |         30 |          0 |          3 |         33 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\inventory\__init__.py             | Python           |         10 |          0 |          2 |         12 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\inventory\_inventory.py           | Python           |         80 |          0 |         11 |         91 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\inventory\inventory.py            | Python           |        102 |          1 |         12 |        115 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\laboratory\__init__.py            | Python           |          0 |          0 |          2 |          2 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\laboratory\laboratory.py          | Python           |          0 |          0 |          1 |          1 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\__init__.py                  | Python           |         18 |          0 |         10 |         28 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\menu.py                      | Python           |        136 |          0 |          5 |        141 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_arena.py                  | Python           |        165 |          3 |          7 |        175 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_battle.py                 | Python           |        300 |          3 |         17 |        320 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_debug.py                  | Python           |        158 |          7 |          6 |        171 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\menu\ui_user.py                   | Python           |         83 |          0 |          4 |         87 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\monster\__init__.py               | Python           |          4 |          0 |          2 |          6 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\monster\monster.py                | Python           |         30 |          0 |          4 |         34 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\potion\__init__.py                | Python           |         10 |          0 |          2 |         12 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\potion\potion.py                  | Python           |         60 |          0 |         12 |         72 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\setup.py                          | Python           |          9 |          0 |          2 |         11 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\shop\__init__.py                  | Python           |          0 |          0 |          2 |          2 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\shop\shop.py                      | Python           |          0 |          0 |          1 |          1 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\__init__.py                 | Python           |         83 |          0 |          4 |         87 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\state.py                    | Python           |        263 |          3 |         13 |        279 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\state\visual.py                   | Python           |      1,226 |          0 |         29 |      1,255 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\user\__init__.py                  | Python           |          9 |          0 |          2 |         11 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\game\user\user.py                      | Python           |        129 |         20 |         25 |        174 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\lcg.py                                 | Python           |         32 |         16 |         13 |         61 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\codec\__init__.py                | Python           |          3 |          0 |          2 |          5 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\codec\codec.py                   | Python           |         39 |          0 |          5 |         44 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\__init__.py              | Python           |        243 |          0 |          6 |        249 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\console.py               | Python           |      1,576 |         15 |         50 |      1,641 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\driver_std.py            | Python           |        218 |          0 |         14 |        232 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\console\views.py                 | Python           |         84 |          0 |          5 |         89 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\coroutines\__init__.py           | Python           |         56 |          0 |          2 |         58 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\coroutines\coroutines.py         | Python           |        524 |          1 |         56 |        581 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\csv\__init__.py                  | Python           |          3 |          0 |          2 |          5 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\csv\csv.py                       | Python           |         65 |         10 |          7 |         82 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\generateinit.mjs                 | JavaScript       |         30 |          0 |          3 |         33 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\math\__init__.py                 | Python           |         31 |          0 |          2 |         33 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\math\math.py                     | Python           |        110 |         18 |         16 |        144 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\mixin\__init__.py                | Python           |          7 |          0 |          2 |          9 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\mixin\mixin.py                   | Python           |         69 |          0 |          7 |         76 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\primordials\__init__.py          | Python           |         62 |          0 |          2 |         64 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\primordials\primordials.py       | Python           |        387 |         14 |         67 |        468 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\src\utils\setup.py                         | Python           |          9 |          0 |          2 |         11 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\test\csv_reader.py                         | Python           |          7 |          0 |          2 |          9 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\test\testabortsignalsuspendable.py         | Python           |         30 |          0 |          5 |         35 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\test\testconsole_textformatter.py          | Python           |         68 |          0 |         10 |         78 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\test\testconsole_views.py                  | Python           |         53 |          0 |         12 |         65 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\test\testgetch.py                          | Python           |        117 |          7 |          5 |        129 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\test\testmixin.py                          | Python           |         42 |          1 |          8 |         51 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\test\testprimordialstrim.py                | Python           |         16 |          0 |          3 |         19 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\test\testutils.py                          | Python           |         38 |          0 |          7 |         45 |
| e:\Projects\Python\if1210-2024-tubes-k08-a\test\userauthtest.py                       | Python           |         35 |          6 |          4 |         45 |
| Total                                                                                 |                  |     10,364 |        181 |        706 |     11,251 |
+---------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
